AVG_INFECTED,AVG_DEATHS,AVG_DEATH_STDV
4.6,11.86,4.150288900689164
7.92,16.0,7.502380574571933
5.3,8.62,3.0565419970273324
6.34,13.98,5.545691469740362
8.5,10.66,4.93057930114687
8.66,15.46,6.7103635960979595
10.22,18.84,8.296446251749195
5.64,11.7,4.870779177494949
4.04,10.1,4.301162633521313
3.56,11.42,4.025885629528093
